GEO_ID,NAME,MEDIAN_EARNINGS_IN_DOLLARS_POPULATION_16_YEARS_AND_OVER_WITH_EARNINGS,MEDIAN_EARNINGS_IN_DOLLARS_POPULATION_16_YEARS_AND_OVER_WITH_EARNINGS
1400000US22071002503,"Census Tract 25.03, Orleans Parish, Louisiana",39032,8116
1400000US22071002504,"Census Tract 25.04, Orleans Parish, Louisiana",33750,4795
1400000US22071002600,"Census Tract 26, Orleans Parish, Louisiana",40669,17248
1400000US22071002700,"Census Tract 27, Orleans Parish, Louisiana",21607,6913
1400000US22071002800,"Census Tract 28, Orleans Parish, Louisiana",17200,4914
1400000US22071002900,"Census Tract 29, Orleans Parish, Louisiana",22031,7685
1400000US22071003000,"Census Tract 30, Orleans Parish, Louisiana",27297,7003
1400000US22071003100,"Census Tract 31, Orleans Parish, Louisiana",25446,9244
1400000US22071003301,"Census Tract 33.01, Orleans Parish, Louisiana",50467,4980
1400000US22071003302,"Census Tract 33.02, Orleans Parish, Louisiana",40981,8297
1400000US22071003303,"Census Tract 33.03, Orleans Parish, Louisiana",27662,2329
1400000US22071003304,"Census Tract 33.04, Orleans Parish, Louisiana",29511,6093
1400000US22071003307,"Census Tract 33.07, Orleans Parish, Louisiana",23118,3977
1400000US22071003308,"Census Tract 33.08, Orleans Parish, Louisiana",20185,8491
1400000US22071003400,"Census Tract 34, Orleans Parish, Louisiana",24688,3504
1400000US22071003500,"Census Tract 35, Orleans Parish, Louisiana",25938,16882
1400000US22071003600,"Census Tract 36, Orleans Parish, Louisiana",31667,4487
1400000US22071003701,"Census Tract 37.01, Orleans Parish, Louisiana",29411,3842
1400000US22071003702,"Census Tract 37.02, Orleans Parish, Louisiana",37141,5585
1400000US22071003800,"Census Tract 38, Orleans Parish, Louisiana",52485,13059
1400000US22071003900,"Census Tract 39, Orleans Parish, Louisiana",26250,6184
1400000US22071004000,"Census Tract 40, Orleans Parish, Louisiana",28427,8954
1400000US22071004100,"Census Tract 41, Orleans Parish, Louisiana",50321,7576
1400000US22071004401,"Census Tract 44.01, Orleans Parish, Louisiana",25278,4650
1400000US22071004402,"Census Tract 44.02, Orleans Parish, Louisiana","2,500-",***
1400000US22071004500,"Census Tract 45, Orleans Parish, Louisiana",39655,2418
1400000US22071004600,"Census Tract 46, Orleans Parish, Louisiana",43323,3144
1400000US22071004800,"Census Tract 48, Orleans Parish, Louisiana",-,**
1400000US22071004900,"Census Tract 49, Orleans Parish, Louisiana",21488,2289
1400000US22071005000,"Census Tract 50, Orleans Parish, Louisiana",23796,10521
1400000US22071005400,"Census Tract 54, Orleans Parish, Louisiana",45518,6173
1400000US22071005500,"Census Tract 55, Orleans Parish, Louisiana",45145,6034
1400000US22071005601,"Census Tract 56.01, Orleans Parish, Louisiana",58030,8788
1400000US22071005602,"Census Tract 56.02, Orleans Parish, Louisiana",54531,8563
1400000US22071005603,"Census Tract 56.03, Orleans Parish, Louisiana",53596,6292
1400000US22071005604,"Census Tract 56.04, Orleans Parish, Louisiana",51926,5386
1400000US22071006000,"Census Tract 60, Orleans Parish, Louisiana",20779,3955
1400000US22071006300,"Census Tract 63, Orleans Parish, Louisiana",32745,4355
1400000US22071006400,"Census Tract 64, Orleans Parish, Louisiana",40545,4546
1400000US22071006500,"Census Tract 65, Orleans Parish, Louisiana",35885,3726
1400000US22071006900,"Census Tract 69, Orleans Parish, Louisiana",16500,9029
1400000US22071007000,"Census Tract 70, Orleans Parish, Louisiana",3926,1348
1400000US22071007101,"Census Tract 71.01, Orleans Parish, Louisiana",38708,9991
1400000US22071007200,"Census Tract 72, Orleans Parish, Louisiana",20423,4638
1400000US22071007501,"Census Tract 75.01, Orleans Parish, Louisiana",19819,6003
1400000US22071007502,"Census Tract 75.02, Orleans Parish, Louisiana",30499,6719
1400000US22071007604,"Census Tract 76.04, Orleans Parish, Louisiana",86600,12516
1400000US22071007605,"Census Tract 76.05, Orleans Parish, Louisiana",21429,10037
1400000US22071007606,"Census Tract 76.06, Orleans Parish, Louisiana",46516,7413
1400000US22071007700,"Census Tract 77, Orleans Parish, Louisiana",53602,10343
1400000US22071007800,"Census Tract 78, Orleans Parish, Louisiana",41321,8560
1400000US22071008200,"Census Tract 82, Orleans Parish, Louisiana",36250,10798
1400000US22071008300,"Census Tract 83, Orleans Parish, Louisiana",55385,11042
1400000US22071008400,"Census Tract 84, Orleans Parish, Louisiana",38097,8410
1400000US22071008500,"Census Tract 85, Orleans Parish, Louisiana",23063,7733
1400000US22071008600,"Census Tract 86, Orleans Parish, Louisiana",17602,2593
1400000US22071008800,"Census Tract 88, Orleans Parish, Louisiana",45094,19508
1400000US22071009000,"Census Tract 90, Orleans Parish, Louisiana",54676,10876
1400000US22071009100,"Census Tract 91, Orleans Parish, Louisiana",33164,8156
1400000US22071009200,"Census Tract 92, Orleans Parish, Louisiana",16917,6603
1400000US22071009400,"Census Tract 94, Orleans Parish, Louisiana",13214,8204
1400000US22071009600,"Census Tract 96, Orleans Parish, Louisiana",35901,8741
1400000US22071009700,"Census Tract 97, Orleans Parish, Louisiana",46540,3675
1400000US22071009900,"Census Tract 99, Orleans Parish, Louisiana",45763,4522
1400000US22071010000,"Census Tract 100, Orleans Parish, Louisiana",23194,6770
1400000US22071010100,"Census Tract 101, Orleans Parish, Louisiana",45957,18031
1400000US22071010200,"Census Tract 102, Orleans Parish, Louisiana",31773,3419
1400000US22071010300,"Census Tract 103, Orleans Parish, Louisiana",26074,2551
1400000US22071010600,"Census Tract 106, Orleans Parish, Louisiana",46471,12762
1400000US22071010700,"Census Tract 107, Orleans Parish, Louisiana",43913,8268
1400000US22071010800,"Census Tract 108, Orleans Parish, Louisiana",62731,5234
1400000US22071010900,"Census Tract 109, Orleans Parish, Louisiana",55485,9895
1400000US22071011100,"Census Tract 111, Orleans Parish, Louisiana",35365,12167
1400000US22071011200,"Census Tract 112, Orleans Parish, Louisiana",40000,6510
1400000US22071011400,"Census Tract 114, Orleans Parish, Louisiana",61857,5364
1400000US22071011500,"Census Tract 115, Orleans Parish, Louisiana",65284,13503
1400000US22071011600,"Census Tract 116, Orleans Parish, Louisiana",100069,28801
1400000US22071011700,"Census Tract 117, Orleans Parish, Louisiana",48333,16593
1400000US22071011900,"Census Tract 119, Orleans Parish, Louisiana",36453,10528
1400000US22071012000,"Census Tract 120, Orleans Parish, Louisiana",46000,15778
1400000US22071012101,"Census Tract 121.01, Orleans Parish, Louisiana",11033,3044
1400000US22071012102,"Census Tract 121.02, Orleans Parish, Louisiana",4571,693
1400000US22071012200,"Census Tract 122, Orleans Parish, Louisiana",51366,4825
1400000US22071012300,"Census Tract 123, Orleans Parish, Louisiana",32485,5998
1400000US22071012400,"Census Tract 124, Orleans Parish, Louisiana",41154,11639
1400000US22071012500,"Census Tract 125, Orleans Parish, Louisiana",50253,5055
1400000US22071012600,"Census Tract 126, Orleans Parish, Louisiana",47765,9170
1400000US22071012700,"Census Tract 127, Orleans Parish, Louisiana",43333,8550
1400000US22071012800,"Census Tract 128, Orleans Parish, Louisiana",45600,8897
1400000US22071012900,"Census Tract 129, Orleans Parish, Louisiana",31797,10440
1400000US22071013000,"Census Tract 130, Orleans Parish, Louisiana",25759,5547
1400000US22071013100,"Census Tract 131, Orleans Parish, Louisiana",28347,10721
1400000US22071013200,"Census Tract 132, Orleans Parish, Louisiana",22105,10476
1400000US22071013301,"Census Tract 133.01, Orleans Parish, Louisiana",56215,10130
1400000US22071013302,"Census Tract 133.02, Orleans Parish, Louisiana",47391,10237
1400000US22071013400,"Census Tract 134, Orleans Parish, Louisiana",54145,13232
1400000US22071013500,"Census Tract 135, Orleans Parish, Louisiana",41938,11387
1400000US22071013600,"Census Tract 136, Orleans Parish, Louisiana",35463,11497
1400000US22071013700,"Census Tract 137, Orleans Parish, Louisiana",14583,2368
1400000US22071013800,"Census Tract 138, Orleans Parish, Louisiana",24225,4269
1400000US22071013900,"Census Tract 139, Orleans Parish, Louisiana",33523,9658
1400000US22071014000,"Census Tract 140, Orleans Parish, Louisiana",14744,4681
1400000US22071014100,"Census Tract 141, Orleans Parish, Louisiana",21985,11391
1400000US22071014200,"Census Tract 142, Orleans Parish, Louisiana",47031,12418
1400000US22071014300,"Census Tract 143, Orleans Parish, Louisiana",18281,5689
1400000US22071014400,"Census Tract 144, Orleans Parish, Louisiana",41714,5815
1400000US22071014500,"Census Tract 145, Orleans Parish, Louisiana",-,**
1400000US22071980000,"Census Tract 9800, Orleans Parish, Louisiana",-,**
1400000US22071980100,"Census Tract 9801, Orleans Parish, Louisiana",-,**
1400000US22071990000,"Census Tract 9900, Orleans Parish, Louisiana",-,**
