id,NAME,MEDIAN_EARNINGS_IN_DOLLARS_POPULATION_16_YEARS_AND_OVER_WITH_EARNINGS
1400000US22071000100,"Census Tract 1, Orleans Parish, Louisiana",53925
1400000US22071000200,"Census Tract 2, Orleans Parish, Louisiana",26167
1400000US22071000300,"Census Tract 3, Orleans Parish, Louisiana",24815
1400000US22071000400,"Census Tract 4, Orleans Parish, Louisiana",24671
1400000US22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",12408
1400000US22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",23116
1400000US22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",24896
1400000US22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",23178
1400000US22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",32833
1400000US22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",34776
1400000US22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",38692
1400000US22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",29665
1400000US22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",55455
1400000US22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",22987
1400000US22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",31101
1400000US22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",43712
1400000US22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",30430
1400000US22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",50206
1400000US22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",30764
1400000US22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",20575
1400000US22071000800,"Census Tract 8, Orleans Parish, Louisiana",26276
1400000US22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",27802
1400000US22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",22292
1400000US22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",16724
1400000US22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",21786
1400000US22071001100,"Census Tract 11, Orleans Parish, Louisiana",30053
1400000US22071001200,"Census Tract 12, Orleans Parish, Louisiana",41838
1400000US22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",27342
1400000US22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",28454
1400000US22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",22198
1400000US22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",23418
1400000US22071001500,"Census Tract 15, Orleans Parish, Louisiana",26818
1400000US22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",25943
1400000US22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",16522
1400000US22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",22993
